snippet.textOrginal,roberta_neg,roberta_neu,roberta_pos,vader_neg,vader_neu,vader_pos,vader_compound
the world is extremely broken and WRONG because of idiots,0.9834236,0.014245422,0.0023309633,0.0,0.715,0.285,0.7488
I hope I never get recommended this channel again I hope I never have to see it again jfc the algorithm sucks,0.98280245,0.014778932,0.0024186228,0.0,1.0,0.0,0.0
"Memories is so annoying, it is so repetitive and irratating.",0.98198754,0.015312951,0.0026994178,0.0,0.702,0.298,0.6249
Copyright is a horrible word that kills my week when I hear it.,0.98149776,0.015958088,0.002544122,0.163,0.767,0.07,-0.4215
"DAMN! i hate the world, can we delete it?",0.98093396,0.015734408,0.0033316067,0.09,0.633,0.277,0.8824
"Boring and pointless. The video's bad and you should feel bad. You getting old, Tommy?",0.9800813,0.017538581,0.0023802123,0.254,0.405,0.341,0.2656
Wow this vid was so bad I unsubscribed. This schmuck is just licking lawyer boots and doesn't review the issue from the other side at all,0.97994137,0.017625356,0.0024332202,0.0,0.0,0.0,0.0
"The system is broken and this video is trash 

YouTube employees and owners are genuinely evil.",0.97983474,0.017900456,0.0022648298,0.0,1.0,0.0,0.0
"Oh god, streamer Tom Scott is the worst xDDDDD",0.97959167,0.017536389,0.0028719383,0.0,1.0,0.0,0.0
The Human Race is stupid. May this virus kill everyone so it can all finally end.,0.9789665,0.018710505,0.0023230868,0.053,0.895,0.053,0.2487
"this video is so frustrating and upsetting i want to burn it all down
its not ""lawful"" what these companies do its just within an understanding of a specific judgement that is manipulated in an aggressive and uncivil manner by monopolistic companies that prey on the lower class.",0.9788617,0.019383447,0.0017549295,0.108,0.86,0.032,-0.3612
"jesus, I hate mystery science theater, My mom just won't stop watching it",0.97882366,0.018238453,0.0029378824,0.0,1.0,0.0,0.0
"Long story short, Capitalism sucks, money makes people suck, We can't have fun because those people suck......",0.9783946,0.018760249,0.0028449998,0.0,1.0,0.0,0.0
I hate capitalism so much.,0.9772838,0.019483097,0.0032331524,0.0,0.25,0.75,0.7184
Copywrite is so annoying,0.97721386,0.019632824,0.0031533523,0.0,1.0,0.0,0.0
These companies are terrible too bully the public.,0.9767918,0.021228934,0.0019793431,0.0,1.0,0.0,0.0
This just makes me hate capitalism even more,0.9757996,0.021664202,0.0025361127,0.36,0.601,0.039,-0.9377
"I was suffering when I heard Canon in D, I'm so sick of it every commercial use it and well I'm not here for it xd",0.9756722,0.021840263,0.0024874501,0.123,0.849,0.029,-0.9042
You are an idiot. People who create have always been ripped off by assholes who cannot create anything. I feel  sorry for these mental midgets.,0.97506374,0.02178165,0.0031545775,0.0,1.0,0.0,0.0
