snippet.textOrginal,roberta_neg,roberta_neu,roberta_pos,vader_neg,vader_neu,vader_pos,vader_compound
"So..... if I were to stream/upload me playing a game for 60 min and then, just at the end of every video, I talked 3 min about what I liked, what I didn't like, what could be better etc..... I would be actively criticising it and wouldn't have to fear anything?....",0.30728602,0.5692305,0.123483434,0.158,0.736,0.106,-0.994
"I'm just paranoid that anything I do, could be considered copyright infringement, especially with low-res artwork. If only we could scan all our art/music for infringements, before releasing it. I feel like I shouldn't have to be afraid of creating works for sale because there might be a human somewhere on earth that made something similar enough that I not only lose the time and money spent creating it, but also get sued and go into debt over it.",0.87102795,0.11929591,0.009676164,0.156,0.784,0.06,-0.9905
"""Horrible gamer children"" is my new favorite phrase",0.53863657,0.2528773,0.20848612,0.36,0.64,0.0,-0.9904
THANK YOU.,0.008510003,0.123657614,0.86783236,0.184,0.773,0.042,-0.9861
yet there are still no ads on the vid...,0.42637885,0.53963786,0.033983264,0.18,0.82,0.0,-0.9835
"One thing that's great about the hypothetical 50-years-from-publication copyright is that you don't have to track down the creator's death date to determine public domain status. For lesser-known creations, it's far more difficult to track down personal information about the creator than it is to check the publication year. 

This goes back to what you mentioned about ""orphaned works"". If no one knows exactly which John Smith it was who authored this book, can you be sure he's been dead long enough?",0.36082503,0.4800344,0.1591406,0.476,0.398,0.125,-0.9814
"So my alarm strikes in 5 instead of yt, but at least I feel like waking up smarter... maybe not well rested, but definitely with more knowledge",0.02129115,0.23825023,0.74045867,0.188,0.787,0.026,-0.9776
"Can I ask you a question. 
I know this will be buried but I have a question. Stay safe and wash your hands my friend.",0.29795995,0.6375895,0.06445053,0.145,0.778,0.077,-0.9772
so it's not broken but outdated?,0.38756067,0.5718366,0.04060277,0.266,0.734,0.0,-0.9757
"If you can't trace the owner, it should be free for use...",0.2178464,0.6901004,0.092053264,0.402,0.598,0.0,-0.9746
the problem at the root of all of this is that it costs money to defend yourself in court,0.93604064,0.061018027,0.0029413388,0.178,0.791,0.031,-0.9743
Too long.,0.6255019,0.32907638,0.04542181,0.251,0.646,0.103,-0.9743
I remember making a video of me playing Earn to die 3 and getting copyrighted because of the soundtrack,0.13917129,0.6701906,0.19063812,0.471,0.451,0.078,-0.9728
"are you serious? 
PARODY ISNT FAIR USE?
WHAT KIND OF DYSTOPIA AM I LIVING IN?",0.8605296,0.13151486,0.007955559,0.278,0.637,0.086,-0.9727
This video seems very topical with the whole Youtubers V Twitch Streamers controversy,0.06615608,0.78188944,0.15195443,0.313,0.664,0.023,-0.9693
Been saying it for a while now: DCMA needs to be reformed or repealed. It came into being just a little bit too soon.,0.6102058,0.3633499,0.026444234,0.19,0.735,0.075,-0.9692
is it not correct that emoji's are now unicode characters and not just small images?,0.36971146,0.5545681,0.075720415,0.11,0.879,0.01,-0.9674
"Wait, there's people pronounce it as ""jif""?",0.25535256,0.7047961,0.039851386,0.118,0.831,0.051,-0.967
