id,vader_neg,vader_neu,vader_pos,vader_compound,snippet.textOrginal,snippet.likeCount,snippet.publishedAt
UgzzkGXp9OqcNTIfg8N4AaABAg,0.0,0.858,0.142,0.5848,"Yep, 42 minutes of video. This was a big project. Plus: I've got an all-new five-part original series called Money over on Nebula, which you can watch as a bundle with CuriosityStream! https://curiositystream.com/tomscott",29165,2020-03-14T14:07:53Z
UgxHwgzeFMX03Ls9YoJ4AaABAg,0.0,0.898,0.102,0.3612,"Would like to see a follow-up on this take, now that the past few years of provably false-but-upheld claims have ebbed in and out.",0,2023-09-21T19:24:12Z
UgyHNNyAj-FS9Ja1rSt4AaABAg,0.0,0.833,0.167,0.5574,"""The UK has one of the world's friendliest copyright regimes for individual creators""
*Count Dankula has joined the chat*",1,2023-09-21T17:01:28Z
Ugz2llq0yWm-fPYxguJ4AaABAg,0.038,0.928,0.034,0.1406,"My take on the whole giphy being transformative or not case is that gifs of media like shows, movies, videos, and whatever else that isn't also originally intended to be used in the same way as gifs are should count as transformative. No potential consumer in any of the cases above would be lost by them being exposed to it via a few seconds of the movie showing some random scene fitting to the gifs intended theme/application. Might be different for photography, but even then a case could be made for where it was intended to be used and how important it is when compared to the rest of the media it appears in.",1,2023-09-19T15:18:44Z
UgyOKH4bXfPQ9zKU06t4AaABAg,0.0,1.0,0.0,0.0,"""Fact checking"" is a modern euphemism for censorship.",0,2023-09-18T15:37:31Z
Ugxz-WVaXUSE_ZivtBB4AaABAg,0.0,0.791,0.209,0.4404,I watch this video every once in a while because it's just too good.,1,2023-09-17T09:26:03Z
UgygC7bEolN1_Y8-5RF4AaABAg,0.0,1.0,0.0,0.0,Where did the red shirt go,0,2023-09-16T17:04:54Z
UgxcXwp1KsRuQ8P-IMF4AaABAg,0.0,0.953,0.047,0.4199,Geez imagine taking someone else's work and then copyrighting it 😂😂😂 what a complete tool you must be to do something like that. In software there's something called open source. You can't take someone's work and then say you changed it and it's now yours! In fact you are supposed to contribute back your work to the project.,1,2023-09-16T10:59:39Z
UgzQvNxVjy_SL7zh8Zd4AaABAg,0.0,0.704,0.296,0.6369,Love how open and into that leagle eagle was to that,0,2023-09-12T08:55:54Z
UgwuyOTBv5bnN1w_p1x4AaABAg,0.0,0.756,0.244,0.6369,I love the fact that Tom in the bottom left feels exactly as sssniperwolf reacts,1,2023-09-10T15:40:04Z
Ugxa5Sxq_GjXMWlx_UV4AaABAg,0.061,0.939,0.0,-0.5859,"It is insane that as Next of Kin in my father's will (since he passed mid-2022), that all the copyrights and revenue for his stories will has passed on to me and then to any children I have in my will, and his work won't become Public Domain at the current rate of Copyright Maximalism until *mid-2092* at the earliest unless I take the time to put them in the PD before they risk becoming an Orphaned Work.",0,2023-09-10T12:04:19Z
UgwiWlKZarqjyGoBPPt4AaABAg,0.058,0.846,0.097,-0.0258,"One thing creators could start doing is submitting their works to the public domain after 20 or 50 years (assuming they're still alive). You yourself could just go ""yep after 20 years, I'm satisfied with the profit I made, all my old videos are now public domain - have at it."" I agree that the law should be changed, but until creators actually start being that change, I fear nothing will happen.",1,2023-09-09T20:32:52Z
UgwXjge0sBGmMI0K0zt4AaABAg,0.0,1.0,0.0,0.0,Skip da ad 40:06,0,2023-09-09T14:40:19Z
UgwXWNEY5UU5vb9z74h4AaABAg,0.087,0.888,0.025,-0.6635,"4:21 Is the part ""without credit"" really true? Copyright is divided into economic rights and moral rights. The latter is about the author's personal connection with the work, for example the right to credit. Moral rights are inalienable and never expire. Of course, the author won't sue you if they're dead, but I think technically you still are obliged to credit them.
The distinction between economic and moral rights varies between countries, but Berne convention, which was signed by most countries of the world, assures that ""independent of the author's economic rights, and even after the transfer of the said rights, the author shall have the right to claim authorship of the work"".",0,2023-09-09T11:00:34Z
UgxOMDJJ288_fj6GIc54AaABAg,0.0,0.518,0.482,0.4201,i really like this video,1,2023-09-08T00:22:11Z
Ugzmn0zktAJSAsYXYht4AaABAg,0.033,0.888,0.079,0.5854,"1:40 This happened to me on a smaller scale. An artist gave me permission to use their song. Or I should say, they made it available online royalty free. I used the song in a video and it got claimed. I had to track down the artist and he was very nice he says the agency he uses did it by mistake and he got them to remove the claim. A few months later I used the song again, thinking it should be fine now. Nope, they claimed it again and I had to bother this artist again. I love that song but I won't use it anymore.",0,2023-09-07T18:48:11Z
UgwFjqUm4c3ltraJllF4AaABAg,0.126,0.755,0.119,-0.7428,"If there's so many possibilities for a mafia/1984/existential Abandoned By Disney horror movie just based on the concept of copyright, that means only one thing. Scrub out all of the complicated stuff and start from the basics, and then calculate every reality possible to make sure that you can build the best framework for a copyright system, then actually get a group of people to test on their copyright systems or interview existing companies that abuse the current system and challenge them to abuse the new system before tweaking it as you go.
So, it's a guilty until proven innocent sort of deal, huh? That's frightening.
Actually, why not pay to create a huge group of people to help upload a whole bunch of copyrighted works that are created by original creators across the internet and just wait for them to get copyright struck, and then watch as the money built up from the years of the business growing have piled up and are now being spent to take everything to court to legally define everything.",1,2023-09-07T13:44:06Z
UgwJTgXPNH025r7tLIN4AaABAg,0.147,0.754,0.099,-0.296,"I like this about Youtube.  I see some of my favourite ""stars"" appearing randomly on other channels.  Oh, the copyright stuff? I hate it.",0,2023-09-07T08:44:05Z
UgyhaFMAolYSUJmnMxN4AaABAg,0.0,1.0,0.0,0.0,36:46 hooooolly,0,2023-09-07T01:28:13Z
